"id","name","value"
1,"TURQUOISE","#1abc9c"
2,"EMERALD","#2ecc71"
3,"AMETHYST","#9b59b6"
4,"WET-ASPHALT","#34495e"
5,"GREEN-SEA","#16a085"
6,"NEPHRITIS","#27ae60"
7,"BELIZE-HOLE","#2980b9"
8,"WISTERIA","#8e44ad"
9,"MIDNIGHT-BLUE","#2c3e50"
10,"SUN-FLOWER","#f1c40f"
11,"CARROT","#e67e22"
12,"ALIZARIN","#e74c3c"
13,"CLOUDS","#ecf0f1"
14,"CONCRETE","#95a5a6"
15,"ORANGE","#f39c12"
16,"PUMPKIN","#d35400"
17,"POMEGRANATE","#c0392b"
18,"SILVER","#bdc3c7"
19,"ASBESTOS","#7f8c8d"
20,"RED","#FF0000"
21,"GREEN","#00FF00"
22,"BLUE","#000099"
23,"PURPLE","#CC0099"
24,"BROWN","#993300"
25,"PINK","#FF3399"
26,"aquamarine","#7fffd4"
27,"BlueViolet","#8a2be2"
28,"burlywood","#deb887"
29,"chocolate","#d2691e"
30,"DarkKhaki","#bdb76b"
31,"DarkSalmon","#e9967a"
